salary_is_predicted,description,id,title,created,salary_max,salary_min,area,location,company,category,tag,contract_type
0,"Crédit Agricole Group Infrastructure Platform, CA-GIP, entité de production informatique du groupe Crédit Agricole recherche un(e) ingénieur d'infrastructure d'exploitation Onshore Unix/Linux. Contexte : Le Socle Open a pour vocation de porter la construction et le maintien en condition opérationnelle des plates-formes technologiques du monde Open en garantissant au quotidien la qualité de service. Il est en charge de l’optimisation technique et économique, en particulier via la mutualisation, …",4193946215,Ingénieur d'infrastructure d'exploitation Onshore Unix/Linux H/F,2023-07-07T08:52:55Z,80000.0,60000.0,"['France', 'Ile-de-France', 'Yvelines', 'Versailles']","Versailles, Yvelines",Crédit Agricole Group,Emplois Informatique,it-jobs,
0,"Qui sont-ils ? Médiamétrie est fière de ses 680 collaborateurs qui contribuent chaque jour à la mesure de l'audience TV, Radio et Internet. Véritable référent dans l'univers des médias, ils réalisent des études médias et accompagnent au quotidien plus de 1000 clients dans leur transformation numérique. Présent depuis 1985 et leader des études médias, ils observent, mesurent et analysent les comportements du public et les tendances du marché : streaming, catch-up, différé, 4 écrans. La connexion…",4222559440,CDI - Ingénieur Dev H/F,2023-07-25T08:37:21Z,,,"['France', 'Ile-de-France', 'Hauts-de-Seine', 'Nanterre', 'Levallois-Perret']","Levallois-Perret, Nanterre",Médiamétrie,Emplois Informatique,it-jobs,
0,"A la recherche d’un nouveau challenge?Cette opportunité est faite pour vous Pour notre client, acteur majeur de l’univers du luxe rejoignez l’équipe en charge des Infras Réseau. Principales Responsabilités Avec votre binôme, vous aurez en charge le projet de refresh Meraki de nombreux sites en Europe.Vous vous occuperez de la gestion de projet de bout en bout incluant: Pour mener à bien ces missions nous recherchons un ingénieur Réseau avec au moins 3 ans d’expérience et une expérience similair…",4175453938,Expert Réseau/Wifi,2023-06-29T01:53:15Z,60000.0,40000.0,"['France', 'Ile-de-France', 'Val-de-Marne', 'Nogent-sur-Marne', 'Fontenay-sous-Bois']","Fontenay-sous-Bois, Nogent-sur-Marne",SKILL EXPERT,Emplois Informatique,it-jobs,
0,"Ingénieur Système - Surveillance et Renseignement des Communications - F/H page is loaded Ingénieur Système - Surveillance et Renseignement des Communications - F/H Apply locations Cholet time type Full time posted on Posted 2 Days Ago job requisition id R0205523 QUI SOMMES-NOUS ? À Cholet, Thales conçoit, développe, intègre, qualifie, industrialise, produit, déploie et maintient en condition opérationnelle des équipements de radiocommunications et des réseaux tactiques militaires, des équipeme…",4209881425,Ingénieur Système - Surveillance et Renseignement des Communications - F/H,2023-07-17T11:25:50Z,60000.0,40000.0,"['France', 'Pays de la Loire', 'Maine-et-Loire', 'Cholet']","Cholet, Maine-et-Loire",Thales Group,Emplois Informatique,it-jobs,
0,"Ingénieur développement logiciel C++ sénior page is loaded Ingénieur développement logiciel C++ sénior Apply locations Vélizy-Villacoublay Gennevilliers time type Full time posted on Posted 4 Days Ago job requisition id R0217612 QUI SOMMES-NOUS ? Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d’importance vitale. Ces activités, qui regroupent radiocommunications, réseaux, systèmes de prot…",4173539776,Ingénieur développement logiciel C++ sénior,2023-06-27T19:58:45Z,80000.0,60000.0,"['France', 'Ile-de-France', 'Hauts-de-Seine', 'Nanterre', 'Gennevilliers']","Gennevilliers, Nanterre",Thales Group,Emplois Informatique,it-jobs,
0,"Absolut Sensing is developing the technologies necessary to monitor, understand and ultimately predict global changes. Our first mission is to support the fight against climate change by providing a satellite-based methane monitoring service to allow regulators and emitters worldwide to assess and reduce their emissions. Join us and make a difference Absolut Sensing is a rapidly growing company with ambitions beyond this first mission. We are an equal opportunity employer, offering competitive …",4173966092,SPACE SEGMENT PROJECT DELIVERY MANAGER,2023-06-28T01:09:14Z,60000.0,40000.0,"['France', 'Occitanie', 'Haute-Garonne', 'Toulouse']","Toulouse, Haute-Garonne",Absolut Sensing,Emplois Informatique,it-jobs,
0,"Il existe 300 métiers différents chez BNP Paribas. Développement Commercial, Informatique, Expertise Financière, Audit ou encore Consulting, c'est autant de possibilités de tracer son parcours professionnel en France ou à l'international  Référent Cybersécurité Concrètement votre quotidien ? La cybersécurité est un enjeu majeur pour vous ? En tant que référent Cybersécurité, vous nous rejoindrez pour contribuer à la détection des vulnérabilités et à la protection de nos actifs face aux menaces …",4239644983,Référent Cybersécurité H/F,2023-08-03T07:20:01Z,,,"['France', 'Ile-de-France', 'Seine-Saint-Denis', 'Bobigny', 'Montreuil']","Montreuil, Bobigny",BNP PARIBAS,Emplois Informatique,it-jobs,
0,"L'offre Je suis Yvonnick, consultant en recrutement au sein d'Externatic, je te propose aujourd’hui de découvrir l’offre ci-dessous et d’échanger ensemble : plutôt en visio ? Ou autour d’un verre ? Je serai ravi de t'accompagner et de te présenter ce job plus en détail  L'entreprise et l'équipe éditeur leader sur son marché spécialiste des solutions numériques pour les collectivités territoriales, dans les domaines de l’urbanisme, du foncier, du patrimoine et du scolaire accompagne  de 60% de m…",4236392342,Responsable R&D  Editions logiciels / ETi H/F,2023-08-01T20:22:04Z,60000.0,40000.0,"['France', 'Pays de la Loire', 'Loire-Atlantique', 'Nantes']","Nantes, Loire-Atlantique",Externatic,Emplois Informatique,it-jobs,
0,"Staycation, c’est l’app qui permet à chacun de s’évader facilement du quotidien. Staycation crée des expériences clés en main dans les meilleurs hôtels autour de soi. Depuis sa création en 2017, Staycation a contribué à transformer l’hôtellerie en profondeur : convertir les hôtels en de véritables lieux de vie au coeur des villes et les connecter à une toute nouvelle clientèle locale. Staycation, c’est à présent une communauté de plus de 2 millions d’utilisateurs et 1000 hôtels dans 5 pays. Pre…",4181296825,Fullstack Developer Node/React H/F (full remote possible),2023-07-01T09:59:09Z,80000.0,60000.0,"['France', 'Ile-de-France', 'Paris']","Paris, Ile-de-France",Staycation,Emplois Informatique,it-jobs,
0,"Qualis est une société d'intérim et de recrutement spécialisée dans le : Tertiaire (banque, assurance, comptabilité, centres d'appel, immobilier, transports) Informatique (infrastructure et sécurité, support aux utilisateurs, développement web) Industrie (Industrie et ingénierie, BTP et télécoms) Nous vous accompagnons partout en France dans vos recrutements en CDI, CDD et travail temporaire. Nos consultants en recrutement sont des experts métiers capables d'identifier vos problématiques. Colla…",4199601913,Technicien Informatique H/F,2023-07-11T07:57:57Z,,,"['France', ""Provence-Alpes-Côte d'Azur"", 'Bouches-du-Rhône', 'Aix-en-Provence', 'Aix-en-Provence-Sud-Ouest']","Aix-en-Provence-Sud-Ouest, Aix-en-Provence",Qualis Recrutement,Emplois Informatique,it-jobs,
0,"Rejoindre UTIGroup, c'est rejoindre une Société à taille humaine qui investit sur l'accompagnement de ses Consultants, et où la prise de décision est rapide. Certifiée ISO 9001/2015, UTIGroup a eu 35 ans en 2021. Solidité et transparence financière (notre société est cotée en Bourse depuis plus de 20 ans Notation ECO-Vadis exceptionnelle (73/100) : niveau PLATINIUM (RSE, éthique, social et achats responsables) UTIGroup respecte les textes internationaux, européens et la législation Française en…",4199596270,Ingénieur Système Windows Junior H/F,2023-07-11T07:57:45Z,33000.0,32000.0,"['France', 'Auvergne-Rhône-Alpes', 'Rhône']","Rhône, Auvergne-Rhône-Alpes",Utigroup,Emplois Informatique,it-jobs,
0,"Lancé en 2021, Team.is est une start-up de recrutement spécialisée dans la chasse et le recrutement de profils IT, Digital, Ingénierie & Supply Chain. Team.is c'est avant tout une entreprise à taille humaine animée par la passion du recrutement  Team.is possède l'expertise et l'énergie pour s'attaquer à n'importe quel défi. Mais nous ne sommes pas des robots du recrutement. Nous sommes des consultants qui vivent et respirent ce que nous faisons  Nous sommes déterminés à réaliser le meilleur tra…",4230202725,Ingénieur Software Robotique H/F,2023-07-29T05:48:10Z,65000.0,45000.0,"['France', 'Nouvelle-Aquitaine', 'Gironde', 'Bordeaux', 'Talence']","Talence, Bordeaux",Team.is,Emplois Informatique,it-jobs,
0,"QUI SOMMES-NOUS ? Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d’importance vitale. Ces activités, qui regroupent radiocommunications, réseaux, systèmes de protection, systèmes d’information critiques et cybersécurité, répondent aux besoins de marchés où l’utilisation des nouvelles technologies numériques est déterminante. Thales intervient tout au long de la chaîne de valeur, des équip…",4181756213,Administrateur Système et Sécurité (H/F),2023-07-01T11:32:37Z,60000.0,40000.0,"['France', 'Bretagne', 'Finistère', 'Brest']","Brest, Finistère",Réservoir Jobs,Emplois Informatique,it-jobs,
0,"Fullstack Job: Développeur(se) Fullstack senior (H-F) L'équipe Talents IT s'engage à être réactive et présente pour répondre à vos demandes. Nos consultants ont pour vocation de vous accompagner dans la recherche de vos futurs experts IT, en CDI et en CDD, quel que soit votre secteur d'activité. Description du poste : Talents IT cabinet de recrutement national spécialisé dans les métiers de l'IT et du Digital proche de ses clients et candidats est résolument tourné vers l'humain. Notre équipe s…",4173968966,Développeur(se) Fullstack senior (H-F),2023-06-28T01:09:29Z,60000.0,40000.0,"['France', 'Bretagne', 'Ille-et-Vilaine', 'Rennes']","Rennes, Ille-et-Vilaine",Talents IT,Emplois Informatique,it-jobs,
0,"Data Scientist Opération & Finance page is loaded Data Scientist Opération & Finance Apply locations Paris time type Full time posted on Posted 9 Days Ago job requisition id JOBREQ00078812 Lieu de travail : Basé au 136 avenue Charles de Gaulle, Neuilly-sur-Seine, des déplacements sont à prévoir occasionnellement sur nos sites en Europe. Rattachement hiérarchique : Head of Data Science & Advanced Analytics Business Services Platform Europe Contrat : CDI, temps plein. Votre rôle chez Chanel : La …",4185518202,Data Scientist Opération & Finance,2023-07-03T03:12:01Z,80000.0,60000.0,"['France', 'Ile-de-France', 'Paris']","Paris, Ile-de-France","Chanel, Inc.",Emplois Informatique,it-jobs,
0,"Description du poste Le Cabinet de recrutement Manpower NANTES INFORMATIQUE recherche pour son client, un acteur du secteur des technologies de pointe, électrique et électronique, un Développeur informatique PHP (H/F) Au sein de l'équipe Développement, vous aurez les missions suivantes: Intervenir dans votre domaine de compétences favoris selon vos compétences et aspirations professionnelles : développement, lead technique, pilotage de projet, Participer à la conception et au développement de l…",4173978966,Développeur Informatique PHP/Symfony,2023-06-28T01:10:40Z,60000.0,40000.0,"['France', 'Pays de la Loire', 'Maine-et-Loire', 'Cholet']","Cholet, Maine-et-Loire",Nefer IT SARL,Emplois Informatique,it-jobs,
0,"Le Groupe PIMENT et ses marques spécialisées OPTIMA et KUBIC vous accompagnent tout au long de votre évolution professionnelle, en vous proposant des contrats en intérim, CDD, CDI, assistance technique, freelance dans de nombreux secteurs d'activité. Nous apportons une vision et des méthodes de recrutement centrées sur les qualités humaines. Pour cela, nous proposons à nos clients des solutions de recrutement sur-mesure. Notre mission : trouver l'entreprise qui correspond à vos attentes et inve…",4199599735,Administrateur Reseau H/F,2023-07-11T07:57:52Z,,,"['France', ""Provence-Alpes-Côte d'Azur"", 'Bouches-du-Rhône', 'Marseille', 'Aubagne']","Aubagne, Marseille",Groupe Piment,Emplois Informatique,it-jobs,
0,"En tant que développeur(se) Python/C++, doté(e) d'une appétence Linux, tu : seras en charge de la conception, du développement et de la validation des applications produit. t'occuperas du suivi du processus de développement participeras à la maintenance des applications existantes développeras des outils en interne travailleras en collaboration avec le service exploitation et le service technique La stack technique : Python, C++, environnement Linux, MySql, Git, tests unitaires, test d'intégrat…",4175372911,Développeur python / c (h/f),2023-06-28T20:21:15Z,60000.0,40000.0,"['France', 'Occitanie', 'Hérault', 'Lodève', ""Clermont-l'Hérault""]","Clermont-l'Hérault, Lodève",Urban Linker,Emplois Informatique,it-jobs,
0,"Un.e chargé.e de développement des réseaux de chaleur - Rouen - Métropole Rouen Normandie Référence de l'offre : PB04333/E3DR.DTE.23.17-BL Type d'emploi : Fonctionnaire / CDI Date limite de réponse à l'offre : 31/08/2023 Grade : Cadre d’emplois des ingénieurs territoriaux Au sein du service réseaux de chaleur et en lien avec le responsable du service et la chargée d’unité, vous pilotez le développement des réseaux de chaleur sur le territoire en collaboration avec les différentes directions de …",4244354002,Un.e chargé.e de développement des réseaux de chaleur,2023-08-05T12:36:35Z,60000.0,40000.0,"['France', 'Normandie', 'Seine-Maritime', 'Rouen']","Rouen, Seine-Maritime",Metropole Rouen Normandie,Emplois Informatique,it-jobs,
0,"Dans le cadre d'un important avec un groupe leader dans son domaine, nous recherchons un Ingénieur Infrastructure IT. Intégré à l'équipe informatique et encadré par son responsable, vous êtes en charge de : Gérer l'ensemble de la configuration des systèmes informatiques du site : veiller à la fiabilité des systèmes et à la sécurité des données, superviser la maintenance des matériels et logiciels d'exploitation et assurer l'installation des équipements selon les standards du groupe. L'IT specia…",4224118997,Ingenieur Infrastructure IT H/F,2023-07-26T07:18:49Z,,,"['France', 'Ile-de-France', 'Yvelines', 'Versailles', 'Vélizy-Villacoublay']","Vélizy-Villacoublay, Versailles",Informatis,Emplois Informatique,it-jobs,
0,"Fondée en 1969, Cegedim est une entreprise innovante de technologies et de services spécialisée dans la gestion des flux numériques de l’écosystème santé et BtoB, ainsi que dans la conception de logiciels métiers destinés aux professionnels de santé et de l’assurance. Cegedim compte plus de 6000 collaborateurs dans plus de 10 pays et a réalisé un chiffre d’affaires de 555,6 millions d’euros en 2022. Cegedim est 6ème du truffle 100 en 2022 : https://www.truffle100.fr/2022.html et 9ème du top 250…",4173972423,Développeur Fullstack (H/F) - Nantes,2023-06-28T01:09:47Z,60000.0,40000.0,"['France', 'Pays de la Loire', 'Loire-Atlantique', 'Nantes']","Nantes, Loire-Atlantique",CEGEDIM,Emplois Informatique,it-jobs,
0,"Qui est Dilitrust ? DiliTrust est LA solution SaaS de référence utilisant l’IA pour accompagner les directions juridiques et la gouvernance d’entreprise. Nous améliorons le quotidien des juristes, des conseils et des dirigeants, en apportant des solutions sécurisées qui accélèrent leur transformation digitale. La suite DiliTrust Governance révèle tout le savoir faire de nos clients, leur simplifie le quotidien avec des solutions technologiques avancées et un service “premium”, au plus proche de…",4236406420,Développeur fullstack PhP Senior (F/H),2023-08-01T20:25:32Z,60000.0,40000.0,"['France', 'Ile-de-France', 'Hauts-de-Seine', 'Nanterre', 'Puteaux']","Puteaux, Nanterre",DiliTrust,Emplois Informatique,it-jobs,
